GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,63,0,2,2,Basic MCTS,34.0,55.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
879079583,SushiGo,3,GAME_OVER,61,0,2,3,Basic MCTS,40.0,53.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-619666105,SushiGo,3,GAME_OVER,61,0,2,4,Basic MCTS,30.0,49.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
503938916,SushiGo,3,GAME_OVER,62,0,2,5,Basic MCTS,43.0,66.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-428737539,SushiGo,3,GAME_OVER,60,0,2,6,Basic MCTS,36.0,53.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1745970416,SushiGo,3,GAME_OVER,62,0,2,7,Basic MCTS,37.0,50.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1436161366,SushiGo,3,GAME_OVER,63,0,2,8,Basic MCTS,34.0,50.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1151041315,SushiGo,3,GAME_OVER,61,0,2,9,Basic MCTS,40.0,55.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
697067980,SushiGo,3,GAME_OVER,63,0,2,10,Basic MCTS,42.0,48.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1168140970,SushiGo,3,GAME_OVER,63,0,2,11,Basic MCTS,40.0,51.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1491060889,SushiGo,3,GAME_OVER,60,0,2,12,Basic MCTS,33.0,68.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1819802610,SushiGo,3,GAME_OVER,61,0,2,13,Basic MCTS,43.0,60.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-2121274456,SushiGo,3,GAME_OVER,61,0,2,14,Basic MCTS,46.0,42.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
259280696,SushiGo,3,GAME_OVER,62,0,2,15,Basic MCTS,41.0,41.0,Basic MCTS,1,Basic MCTS,1,1,1,Basic MCTS,Basic MCTS,Basic MCTS,-1
1706137030,SushiGo,3,GAME_OVER,60,0,2,16,Basic MCTS,42.0,57.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
545138396,SushiGo,3,GAME_OVER,62,0,2,17,Basic MCTS,49.0,56.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1376458976,SushiGo,3,GAME_OVER,62,0,2,18,Basic MCTS,34.0,54.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1195311045,SushiGo,3,GAME_OVER,60,0,2,19,Basic MCTS,35.0,48.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
813477029,SushiGo,3,GAME_OVER,62,0,2,20,Basic MCTS,47.0,65.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1466178614,SushiGo,3,GAME_OVER,62,0,2,21,Basic MCTS,48.0,66.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-118322159,SushiGo,3,GAME_OVER,61,0,2,22,Basic MCTS,31.0,48.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1428166355,SushiGo,3,GAME_OVER,61,0,2,23,Basic MCTS,44.0,74.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1144294523,SushiGo,3,GAME_OVER,61,0,2,24,Basic MCTS,36.0,49.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
2100098225,SushiGo,3,GAME_OVER,63,0,2,25,Basic MCTS,42.0,61.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
23994827,SushiGo,3,GAME_OVER,61,0,2,26,Basic MCTS,32.0,49.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1662792176,SushiGo,3,GAME_OVER,60,0,2,27,Basic MCTS,52.0,49.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
2013120665,SushiGo,3,GAME_OVER,60,0,2,28,Basic MCTS,41.0,74.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1880183632,SushiGo,3,GAME_OVER,62,0,2,29,Basic MCTS,39.0,46.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1377239692,SushiGo,3,GAME_OVER,63,0,2,30,Basic MCTS,36.0,45.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1795532617,SushiGo,3,GAME_OVER,61,0,2,31,Basic MCTS,44.0,64.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1548656463,SushiGo,3,GAME_OVER,60,0,2,32,Basic MCTS,46.0,51.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-653656736,SushiGo,3,GAME_OVER,61,0,2,33,Basic MCTS,47.0,53.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-400394132,SushiGo,3,GAME_OVER,61,0,2,34,Basic MCTS,41.0,67.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1422203009,SushiGo,3,GAME_OVER,62,0,2,35,Basic MCTS,37.0,65.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1113178468,SushiGo,3,GAME_OVER,61,0,2,36,Basic MCTS,46.0,36.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
-175367348,SushiGo,3,GAME_OVER,61,0,2,37,Basic MCTS,50.0,48.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
1362911089,SushiGo,3,GAME_OVER,60,0,2,38,Basic MCTS,39.0,57.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-347120262,SushiGo,3,GAME_OVER,60,0,2,39,Basic MCTS,39.0,53.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1416514647,SushiGo,3,GAME_OVER,62,0,2,40,Basic MCTS,43.0,58.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1570736736,SushiGo,3,GAME_OVER,62,0,2,41,Basic MCTS,47.0,47.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
-1532681659,SushiGo,3,GAME_OVER,60,0,2,42,Basic MCTS,49.0,48.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
2038358424,SushiGo,3,GAME_OVER,60,0,2,43,Basic MCTS,40.0,56.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1950377550,SushiGo,3,GAME_OVER,62,0,2,44,Basic MCTS,41.0,59.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-389679841,SushiGo,3,GAME_OVER,63,0,2,45,Basic MCTS,33.0,46.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1652369011,SushiGo,3,GAME_OVER,64,0,2,46,Basic MCTS,50.0,61.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
649728961,SushiGo,3,GAME_OVER,61,0,2,47,Basic MCTS,36.0,46.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1939385821,SushiGo,3,GAME_OVER,60,0,2,48,Basic MCTS,37.0,52.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-765151654,SushiGo,3,GAME_OVER,63,0,2,49,Basic MCTS,44.0,63.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-382843140,SushiGo,3,GAME_OVER,61,0,2,50,Basic MCTS,49.0,49.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
1616233144,SushiGo,3,GAME_OVER,62,0,2,51,Basic MCTS,36.0,50.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1825767405,SushiGo,3,GAME_OVER,61,0,2,52,Basic MCTS,44.0,44.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
-1681345762,SushiGo,3,GAME_OVER,61,0,2,53,Basic MCTS,49.0,67.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1466223696,SushiGo,3,GAME_OVER,61,0,2,54,Basic MCTS,36.0,47.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-898042700,SushiGo,3,GAME_OVER,62,0,2,55,Basic MCTS,46.0,58.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-622095176,SushiGo,3,GAME_OVER,61,0,2,56,Basic MCTS,42.0,46.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1621553363,SushiGo,3,GAME_OVER,61,0,2,57,Basic MCTS,41.0,63.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
