GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,98,0,4,2,Basic MCTS,43.0,38.0,27.0,45.0,mcts,rhea,rmhc,2,Basic MCTS,2,3,3,4,4,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
879079583,SushiGo,3,GAME_OVER,97,0,4,3,Basic MCTS,37.0,31.0,25.0,38.0,mcts,rhea,rmhc,2,Basic MCTS,2,3,3,4,4,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
-619666105,SushiGo,3,GAME_OVER,100,0,4,4,Basic MCTS,58.0,37.0,24.0,32.0,mcts,rhea,rmhc,1,Basic MCTS,1,2,2,4,4,3,mcts,3,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,1
503938916,SushiGo,3,GAME_OVER,97,0,4,5,Basic MCTS,55.0,36.0,22.0,57.0,mcts,rhea,rmhc,2,Basic MCTS,2,3,3,4,4,1,mcts,1,rhea,rmhc,mcts,Basic MCTS,rmhc,rhea,2
346665430,SushiGo,3,GAME_OVER,98,0,4,6,Basic MCTS,49.0,41.0,37.0,25.0,mcts,rmhc,rhea,1,Basic MCTS,1,2,2,3,3,4,mcts,4,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,1
879079583,SushiGo,3,GAME_OVER,98,0,4,7,Basic MCTS,45.0,28.0,32.0,28.0,mcts,rmhc,rhea,1,Basic MCTS,1,4,4,2,2,3,mcts,3,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,1
-619666105,SushiGo,3,GAME_OVER,98,0,4,8,Basic MCTS,45.0,29.0,39.0,13.0,mcts,rmhc,rhea,1,Basic MCTS,1,3,3,2,2,4,mcts,4,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,1
503938916,SushiGo,3,GAME_OVER,98,0,4,9,Basic MCTS,61.0,31.0,25.0,19.0,mcts,rmhc,rhea,1,Basic MCTS,1,2,2,3,3,4,mcts,4,rmhc,rhea,mcts,Basic MCTS,rhea,rmhc,1
346665430,SushiGo,3,GAME_OVER,98,0,4,10,Basic MCTS,36.0,36.0,27.0,56.0,rhea,mcts,rmhc,2,Basic MCTS,2,3,3,4,4,1,rhea,1,mcts,rmhc,rhea,Basic MCTS,rmhc,mcts,2
879079583,SushiGo,3,GAME_OVER,96,0,4,11,Basic MCTS,34.0,37.0,33.0,46.0,rhea,mcts,rmhc,3,Basic MCTS,3,2,2,4,4,1,rhea,1,mcts,rmhc,rhea,Basic MCTS,rmhc,mcts,2
