GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,82,0,3,2,Basic MCTS,55.0,36.0,43.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
879079583,SushiGo,3,GAME_OVER,81,0,3,3,Basic MCTS,52.0,38.0,47.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
-619666105,SushiGo,3,GAME_OVER,83,0,3,4,Basic MCTS,38.0,38.0,17.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
503938916,SushiGo,3,GAME_OVER,82,0,3,5,Basic MCTS,41.0,37.0,47.0,mcts,rhea,2,Basic MCTS,2,3,3,1,mcts,1,rhea,mcts,Basic MCTS,rhea,2
-428737539,SushiGo,3,GAME_OVER,81,0,3,6,Basic MCTS,43.0,42.0,23.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-1745970416,SushiGo,3,GAME_OVER,83,0,3,7,Basic MCTS,77.0,36.0,49.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
-1436161366,SushiGo,3,GAME_OVER,83,0,3,8,Basic MCTS,46.0,38.0,44.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
-1151041315,SushiGo,3,GAME_OVER,82,0,3,9,Basic MCTS,46.0,44.0,30.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
697067980,SushiGo,3,GAME_OVER,82,0,3,10,Basic MCTS,52.0,34.0,42.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
1168140970,SushiGo,3,GAME_OVER,81,0,3,11,Basic MCTS,52.0,41.0,40.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-1491060889,SushiGo,3,GAME_OVER,81,0,3,12,Basic MCTS,50.0,29.0,28.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-1819802610,SushiGo,3,GAME_OVER,81,0,3,13,Basic MCTS,53.0,42.0,47.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
-2121274456,SushiGo,3,GAME_OVER,83,0,3,14,Basic MCTS,55.0,40.0,45.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
259280696,SushiGo,3,GAME_OVER,83,0,3,15,Basic MCTS,50.0,32.0,35.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
1706137030,SushiGo,3,GAME_OVER,82,0,3,16,Basic MCTS,54.0,47.0,39.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
545138396,SushiGo,3,GAME_OVER,81,0,3,17,Basic MCTS,45.0,34.0,26.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
1376458976,SushiGo,3,GAME_OVER,83,0,3,18,Basic MCTS,55.0,39.0,42.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
1195311045,SushiGo,3,GAME_OVER,81,0,3,19,Basic MCTS,53.0,31.0,38.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
813477029,SushiGo,3,GAME_OVER,82,0,3,20,Basic MCTS,57.0,37.0,44.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
-1466178614,SushiGo,3,GAME_OVER,82,0,3,21,Basic MCTS,51.0,38.0,33.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-118322159,SushiGo,3,GAME_OVER,81,0,3,22,Basic MCTS,43.0,48.0,40.0,mcts,rhea,2,Basic MCTS,2,1,1,3,mcts,3,rhea,mcts,Basic MCTS,rhea,0
-1428166355,SushiGo,3,GAME_OVER,82,0,3,23,Basic MCTS,54.0,39.0,47.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
1144294523,SushiGo,3,GAME_OVER,83,0,3,24,Basic MCTS,48.0,39.0,33.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
2100098225,SushiGo,3,GAME_OVER,82,0,3,25,Basic MCTS,53.0,34.0,51.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
23994827,SushiGo,3,GAME_OVER,82,0,3,26,Basic MCTS,63.0,39.0,42.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
1662792176,SushiGo,3,GAME_OVER,81,0,3,27,Basic MCTS,54.0,40.0,30.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
2013120665,SushiGo,3,GAME_OVER,84,0,3,28,Basic MCTS,54.0,45.0,32.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-1880183632,SushiGo,3,GAME_OVER,81,0,3,29,Basic MCTS,55.0,37.0,59.0,mcts,rhea,2,Basic MCTS,2,3,3,1,mcts,1,rhea,mcts,Basic MCTS,rhea,2
-1377239692,SushiGo,3,GAME_OVER,82,0,3,30,Basic MCTS,56.0,39.0,32.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
1795532617,SushiGo,3,GAME_OVER,82,0,3,31,Basic MCTS,49.0,34.0,39.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
-1548656463,SushiGo,3,GAME_OVER,81,0,3,32,Basic MCTS,65.0,49.0,45.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-653656736,SushiGo,3,GAME_OVER,81,0,3,33,Basic MCTS,54.0,42.0,39.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-400394132,SushiGo,3,GAME_OVER,82,0,3,34,Basic MCTS,39.0,35.0,42.0,mcts,rhea,2,Basic MCTS,2,3,3,1,mcts,1,rhea,mcts,Basic MCTS,rhea,2
-1422203009,SushiGo,3,GAME_OVER,82,0,3,35,Basic MCTS,50.0,50.0,39.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-1113178468,SushiGo,3,GAME_OVER,81,0,3,36,Basic MCTS,46.0,39.0,37.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-175367348,SushiGo,3,GAME_OVER,81,0,3,37,Basic MCTS,52.0,36.0,32.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
1362911089,SushiGo,3,GAME_OVER,81,0,3,38,Basic MCTS,43.0,43.0,50.0,mcts,rhea,2,Basic MCTS,2,3,3,1,mcts,1,rhea,mcts,Basic MCTS,rhea,2
-347120262,SushiGo,3,GAME_OVER,83,0,3,39,Basic MCTS,37.0,43.0,42.0,mcts,rhea,3,Basic MCTS,3,1,1,2,mcts,2,rhea,mcts,Basic MCTS,rhea,0
1416514647,SushiGo,3,GAME_OVER,82,0,3,40,Basic MCTS,68.0,40.0,36.0,mcts,rhea,1,Basic MCTS,1,2,2,3,mcts,3,rhea,mcts,Basic MCTS,rhea,1
-1570736736,SushiGo,3,GAME_OVER,82,0,3,41,Basic MCTS,60.0,40.0,44.0,mcts,rhea,1,Basic MCTS,1,3,3,2,mcts,2,rhea,mcts,Basic MCTS,rhea,1
