GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,6,GAME_OVER,13,0,2,2,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
879079583,Connect4,3,GAME_OVER,7,0,2,3,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-619666105,Connect4,6,GAME_OVER,13,0,2,4,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
503938916,Connect4,5,GAME_OVER,11,0,2,5,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-428737539,Connect4,4,GAME_OVER,9,0,2,6,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1745970416,Connect4,3,GAME_OVER,7,0,2,7,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,8,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,9,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
697067980,Connect4,4,GAME_OVER,9,0,2,10,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1168140970,Connect4,3,GAME_OVER,7,0,2,11,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
